id,species,dbh,h
622,Pinus sylvestris,32.8,28.9
623,Pinus sylvestris,32.8,28.9
624,Pinus sylvestris,32.8,28.9
625,Pinus sylvestris,32.9,28.9
626,Pinus sylvestris,32.9,28.9
627,Pinus sylvestris,33.0,30.6
628,Pinus sylvestris,33.0,28.9
629,Pinus sylvestris,33.1,28.9
630,Pinus sylvestris,33.1,28.9
631,Pinus sylvestris,33.2,28.9
632,Pinus sylvestris,33.3,28.9
633,Pinus sylvestris,33.4,29.0
634,Pinus sylvestris,33.4,29.0
635,Pinus sylvestris,33.4,29.0
636,Pinus sylvestris,33.5,28.2
637,Pinus sylvestris,33.5,29.0
638,Pinus sylvestris,33.5,29.0
639,Pinus sylvestris,33.5,29.0
640,Pinus sylvestris,33.6,29.6
641,Pinus sylvestris,33.7,29.0
642,Pinus sylvestris,33.8,29.0
643,Pinus sylvestris,33.8,29.0
644,Pinus sylvestris,33.9,29.0
645,Pinus sylvestris,33.9,29.0
646,Pinus sylvestris,33.9,29.0
647,Pinus sylvestris,33.9,29.0
648,Pinus sylvestris,34.0,29.0
649,Pinus sylvestris,34.0,29.0
650,Pinus sylvestris,34.0,29.0
651,Pinus sylvestris,34.0,29.0
652,Pinus sylvestris,34.0,29.0
653,Pinus sylvestris,34.1,29.0
654,Pinus sylvestris,34.5,29.1
655,Pinus sylvestris,34.6,29.1
656,Pinus sylvestris,34.7,29.1
657,Pinus sylvestris,34.7,29.1
658,Pinus sylvestris,34.7,29.1
659,Pinus sylvestris,34.7,29.1
660,Pinus sylvestris,34.8,27.7
661,Pinus sylvestris,34.8,29.1
662,Pinus sylvestris,34.8,29.1
663,Pinus sylvestris,34.8,29.1
664,Pinus sylvestris,34.9,29.1
665,Pinus sylvestris,34.9,29.1
666,Pinus sylvestris,35.0,29.1
667,Pinus sylvestris,35.0,29.1
668,Pinus sylvestris,35.2,29.1
669,Pinus sylvestris,35.2,29.1
670,Pinus sylvestris,35.3,29.2
671,Pinus sylvestris,35.3,29.2
672,Pinus sylvestris,35.3,29.2
673,Pinus sylvestris,35.3,29.2
674,Pinus sylvestris,35.4,27.9
675,Pinus sylvestris,35.4,29.2
676,Pinus sylvestris,35.4,29.2
